Transaction ID,Date,Time,Customer ID,Gender,Age,Product Category,Product Name,Quantity,Price per Unit ($),Total Amount ($)
47,2025-03-22,9:33 PM,CUST047,Female,40,Tablets,Amazon Fire HD 10,3,149,447
48,2025-06-06,3:32 PM,CUST048,Male,54,Laptops,"MacBook Pro 14""",2,1999,3998
49,2025-10-12,5:06 PM,CUST049,Female,54,Cameras,Fujifilm X-T5,2,1699,3398
50,2025-07-15,7:07 PM,CUST050,Female,27,Smart Home,Arlo Pro 4 Security Camera,3,199,597
51,2025-07-18,7:41 PM,CUST051,Male,27,Appliances,Ninja Foodi Air Fryer,3,199,597
52,2025-05-10,7:35 PM,CUST052,Female,36,Cameras,Nikon Z50,1,859,859
53,2025-05-31,6:13 PM,CUST053,Male,34,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",2,399,798
54,2025-12-19,4:56 PM,CUST054,Female,38,Laptops,MacBook Air M3,2,1299,2598
55,2025-10-17,2:21 PM,CUST055,Male,31,Smart Home,Google Nest Hub Max,3,229,687
56,2025-10-03,7:25 PM,CUST056,Female,26,Smart Home,Ring Video Doorbell Pro 2,3,249,747
57,2025-04-25,4:06 PM,CUST057,Female,63,Computers & Accessories,Seagate 4TB External HDD,1,99,99
58,2025-11-07,3:20 PM,CUST058,Male,18,Smart Home,Nest Learning Thermostat,3,249,747
59,2025-04-20,5:23 PM,CUST059,Male,62,Smart Home,Google Nest Hub Max,1,229,229
60,2025-07-21,8:43 PM,CUST060,Male,30,Smart Home,Arlo Pro 4 Security Camera,3,199,597
61,2025-12-28,8:04 PM,CUST061,Male,21,Smart Home,Nest Learning Thermostat,3,249,747
62,2025-10-13,11:05 AM,CUST062,Male,18,Smart Home,Nest Learning Thermostat,2,249,498
63,2025-09-19,12:06 PM,CUST063,Male,57,Smart Home,Arlo Pro 4 Security Camera,2,199,398
64,2025-10-28,6:23 PM,CUST064,Male,49,Smart Home,Philips Hue Starter Kit,4,199,796
65,2025-11-29,7:35 PM,CUST065,Male,51,TVs,"Samsung 85"" Neo QLED",2,2999,5998
66,2025-11-15,11:35 AM,CUST066,Female,45,Appliances,Ninja Foodi Air Fryer,1,199,199
67,2025-05-17,5:42 PM,CUST067,Female,48,Audio,Bose QuietComfort 45,3,279,837
68,2025-02-06,12:22 PM,CUST068,Male,25,Laptops,"MacBook Pro 14""",1,1999,1999
69,2025-06-22,7:48 PM,CUST069,Female,56,Appliances,Keurig K-Elite Coffee Maker,3,149,447
70,2025-05-31,4:58 PM,CUST070,Female,43,Gaming,PlayStation 5,1,499,499
71,2025-05-10,6:18 PM,CUST071,Female,51,Computers & Accessories,Logitech MX Master 3 Mouse,4,99,396
72,2025-12-19,5:22 PM,CUST072,Female,20,Tablets,iPad Air M1,2,749,1498
73,2025-12-05,12:32 PM,CUST073,Male,29,Appliances,Ninja Foodi Air Fryer,3,199,597
74,2025-06-22,1:42 PM,CUST074,Female,18,Cameras,Fujifilm X-T5,2,1699,3398
75,2025-10-18,5:54 PM,CUST075,Male,61,Smart Home,Philips Hue Starter Kit,4,199,796
76,2025-07-29,12:54 PM,CUST076,Female,22,Appliances,Ninja Foodi Air Fryer,2,199,398
77,2025-12-13,5:07 PM,CUST077,Female,47,Audio,Sonos Era 300,2,449,898
78,2025-08-22,6:36 PM,CUST078,Female,47,Gaming,PlayStation 5 Controller,3,69,207
79,2025-05-31,2:27 PM,CUST079,Male,34,Tablets,"iPad Pro 12.9""",1,1099,1099
80,2025-05-24,7:49 PM,CUST080,Female,64,Smart Home,Philips Hue Starter Kit,2,199,398
81,2025-09-20,7:39 PM,CUST081,Male,40,Computers & Accessories,Anker 65W USB-C Charger,1,45,45
82,2025-05-30,6:35 PM,CUST082,Female,32,Smart Home,Ring Video Doorbell Pro 2,3,249,747
83,2025-09-26,11:59 AM,CUST083,Male,54,Computers & Accessories,Samsung T7 Portable SSD 1TB,2,89,178
84,2025-12-10,5:44 PM,CUST084,Female,38,Smart Home,Google Nest Hub Max,3,229,687
85,2025-07-31,1:11 PM,CUST085,Male,31,Computers & Accessories,Anker 65W USB-C Charger,3,45,135
86,2025-05-14,1:48 PM,CUST086,Male,19,Appliances,Instant Pot Duo 7-in-1,3,99,297
87,2025-12-31,2:21 PM,CUST087,Female,28,Appliances,iRobot Roomba j7+,2,599,1198
88,2025-09-07,2:11 PM,CUST088,Male,56,Gaming,PlayStation 5 Controller,1,69,69
89,2025-03-19,7:36 PM,CUST089,Female,55,TVs,"Samsung 85"" Neo QLED",2,2999,5998
90,2025-02-22,6:04 PM,CUST090,Female,51,Smart Home,Nest Learning Thermostat,1,249,249
91,2025-03-28,1:40 PM,CUST091,Female,55,TVs,"LG 55"" OLED TV",1,1499,1499
92,2025-10-10,9:05 PM,CUST092,Female,51,Audio,Sonos Era 300,3,449,1347
93,2025-11-19,6:13 PM,CUST093,Female,35,Audio,Samsung Galaxy Buds2 Pro,4,199,796
94,2025-08-08,4:29 PM,CUST094,Female,47,Cameras,Sony Alpha a7 IV,2,2499,4998
95,2025-03-06,2:23 PM,CUST095,Female,32,Audio,Bose QuietComfort 45,2,279,558
96,2025-07-23,2:20 PM,CUST096,Female,44,Tablets,"iPad Pro 12.9""",2,1099,2198
97,2025-12-31,6:36 PM,CUST097,Female,51,Cameras,DJI Mini 4 Pro Drone,2,759,1518
98,2025-09-12,5:56 PM,CUST098,Female,55,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",2,399,798
99,2025-12-26,11:10 AM,CUST099,Female,50,Tablets,Microsoft Surface Go 3,3,399,1197
100,2025-12-02,6:03 PM,CUST100,Male,41,Audio,Sonos Era 300,1,449,449
101,2025-01-13,5:17 PM,CUST101,Male,32,Tablets,iPad Air M1,2,749,1498
102,2025-11-06,3:27 PM,CUST102,Female,47,Appliances,Keurig K-Elite Coffee Maker,2,149,298
103,2025-10-27,4:28 PM,CUST103,Female,59,Smart Home,Nest Learning Thermostat,1,249,249
104,2025-09-14,3:13 PM,CUST104,Female,34,Audio,Sonos Era 300,2,449,898
105,2025-05-31,6:07 PM,CUST105,Female,22,Gaming,Razer BlackShark V2 Headset,1,99,99
106,2025-10-13,2:07 PM,CUST106,Female,46,Computers & Accessories,Seagate 4TB External HDD,1,99,99
107,2025-03-28,3:43 PM,CUST107,Female,21,Tablets,Amazon Fire HD 10,4,149,596
108,2025-08-14,5:33 PM,CUST108,Female,27,Smart Home,Google Nest Hub Max,3,229,687
109,2025-08-21,5:02 PM,CUST109,Female,34,Tablets,Amazon Fire HD 10,4,149,596
110,2025-12-21,1:38 PM,CUST110,Male,27,Smart Home,Google Nest Hub Max,3,229,687
111,2025-12-05,11:13 AM,CUST111,Female,34,Gaming,Razer BlackShark V2 Headset,3,99,297
112,2025-05-30,3:13 PM,CUST112,Male,37,Gaming,Xbox Series X,3,499,1497
113,2025-09-05,6:48 PM,CUST113,Female,41,Smart Home,Ring Video Doorbell Pro 2,2,249,498
114,2025-04-27,1:20 PM,CUST114,Female,22,Smart Home,Ring Video Doorbell Pro 2,3,249,747
115,2025-12-13,12:31 PM,CUST115,Male,51,Tablets,iPad 10th Gen,3,449,1347
116,2025-12-05,6:11 PM,CUST116,Female,23,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",1,399,399
117,2025-06-14,12:34 PM,CUST117,Male,19,Smartphones,OnePlus 12,2,799,1598
118,2025-10-13,6:32 PM,CUST118,Female,30,Tablets,"iPad Pro 12.9""",2,1099,2198
119,2025-10-03,5:42 PM,CUST119,Female,60,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
120,2025-04-16,7:04 PM,CUST120,Male,60,Computers & Accessories,Apple Magic Keyboard,1,99,99
121,2025-11-14,4:47 PM,CUST121,Female,28,Audio,Sonos Era 300,3,449,1347
122,2025-09-15,11:01 AM,CUST122,Male,64,Smart Home,Amazon Echo Show 10,3,249,747
123,2025-11-16,4:04 PM,CUST123,Female,40,Appliances,iRobot Roomba j7+,2,599,1198
124,2025-09-13,7:36 PM,CUST124,Male,33,Tablets,Amazon Fire HD 10,4,149,596
125,2025-01-01,3:25 PM,CUST125,Male,48,Smart Home,Philips Hue Starter Kit,2,199,398
126,2025-06-27,6:26 PM,CUST126,Female,28,Audio,AirPods Pro 2nd Gen,3,249,747
127,2025-01-23,2:25 PM,CUST127,Female,33,Audio,Samsung Galaxy Buds2 Pro,2,199,398
128,2025-12-17,10:20 AM,CUST128,Male,25,Cameras,Sony Alpha a7 IV,1,2499,2499
129,2025-12-06,1:39 PM,CUST129,Female,21,Cameras,Nikon Z50,2,859,1718
130,2025-11-27,4:44 PM,CUST130,Female,57,Appliances,Instant Pot Duo 7-in-1,1,99,99
131,2025-06-19,8:05 PM,CUST131,Female,21,Audio,Samsung Galaxy Buds2 Pro,2,199,398
132,2025-03-03,3:06 PM,CUST132,Male,42,Appliances,Vitamix E310 Blender,3,349,1047
133,2025-12-06,2:37 PM,CUST133,Male,20,Smartphones,OnePlus 12,2,799,1598
134,2025-12-20,4:05 PM,CUST134,Male,49,Audio,Sony WH-1000XM5 Headphones,1,349,349
135,2025-03-15,4:19 PM,CUST135,Male,20,Audio,JBL Charge 5 Speaker,2,149,298
136,2025-09-01,6:14 PM,CUST136,Male,44,TVs,"Samsung 65"" QLED 4K TV",2,1299,2598
137,2025-03-08,4:10 PM,CUST137,Male,46,Cameras,Canon EOS R50,2,699,1398
138,2025-11-14,12:40 PM,CUST138,Male,49,Computers & Accessories,Seagate 4TB External HDD,4,99,396
139,2025-11-14,12:32 PM,CUST139,Male,36,Audio,AirPods Pro 2nd Gen,3,249,747
140,2025-04-04,1:49 PM,CUST140,Male,38,Appliances,iRobot Roomba j7+,1,599,599
141,2025-08-29,4:46 PM,CUST141,Female,22,Computers & Accessories,Samsung T7 Portable SSD 1TB,1,89,89
142,2025-09-18,9:41 PM,CUST142,Male,35,Laptops,MacBook Air M3,2,1299,2598
143,2025-05-31,7:15 PM,CUST143,Female,45,Audio,Sonos Era 300,1,449,449
144,2025-12-05,12:16 PM,CUST144,Female,59,Cameras,Sony Alpha a7 IV,2,2499,4998
145,2025-08-09,2:38 PM,CUST145,Female,39,Smart Home,Philips Hue Starter Kit,3,199,597
146,2025-05-10,1:48 PM,CUST146,Male,38,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
147,2025-09-15,5:11 PM,CUST147,Male,23,Laptops,"MacBook Pro 14""",1,1999,1999
148,2025-11-07,8:40 PM,CUST148,Male,18,Audio,Samsung Galaxy Buds2 Pro,2,199,398
149,2025-05-07,4:48 PM,CUST149,Male,22,Audio,AirPods Pro 2nd Gen,3,249,747
150,2025-06-21,5:37 PM,CUST150,Female,58,Appliances,Dyson V15 Detect Vacuum,2,749,1498
151,2025-12-30,4:59 PM,CUST151,Male,29,Computers & Accessories,Samsung T7 Portable SSD 1TB,1,89,89
152,2025-10-17,7:41 PM,CUST152,Male,43,Smartphones,Samsung Galaxy S24+,2,1099,2198
153,2025-08-15,5:39 PM,CUST153,Male,63,TVs,"TCL 50"" 4K Roku TV",2,499,998
154,2025-09-10,2:40 PM,CUST154,Male,51,TVs,"TCL 50"" 4K Roku TV",3,499,1497
155,2025-04-01,2:28 PM,CUST155,Male,31,Tablets,Amazon Fire HD 10,4,149,596
156,2025-05-16,12:28 PM,CUST156,Female,43,Smart Home,Arlo Pro 4 Security Camera,4,199,796
157,2025-07-03,5:50 PM,CUST157,Male,62,Tablets,Microsoft Surface Go 3,3,399,1197
158,2025-09-27,3:03 PM,CUST158,Female,44,Laptops,"MacBook Pro 14""",2,1999,3998
159,2025-05-17,4:04 PM,CUST159,Male,26,Audio,AirPods Pro 2nd Gen,3,249,747
160,2025-05-14,2:28 PM,CUST160,Female,43,Computers & Accessories,Seagate 4TB External HDD,2,99,198
161,2025-03-09,11:23 AM,CUST161,Male,64,Tablets,iPad 10th Gen,2,449,898
162,2025-10-11,7:04 PM,CUST162,Male,39,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
163,2025-05-17,6:54 PM,CUST163,Female,64,Audio,Sony WH-1000XM5 Headphones,3,349,1047
164,2025-12-12,12:38 PM,CUST164,Female,47,Cameras,DJI Mini 4 Pro Drone,2,759,1518
165,2025-12-01,4:29 PM,CUST165,Female,60,Appliances,Ninja Foodi Air Fryer,4,199,796
166,2025-03-09,5:50 PM,CUST166,Male,34,Tablets,"iPad Pro 12.9""",2,1099,2198
167,2025-05-21,6:02 PM,CUST167,Female,43,Smart Home,Ring Video Doorbell Pro 2,3,249,747
168,2025-10-24,4:51 PM,CUST168,Male,53,Tablets,"iPad Pro 12.9""",1,1099,1099
169,2025-05-11,5:12 PM,CUST169,Male,18,Tablets,"iPad Pro 12.9""",2,1099,2198
170,2025-04-06,2:30 PM,CUST170,Female,25,Smart Home,Nest Learning Thermostat,2,249,498
171,2025-12-18,4:03 PM,CUST171,Female,52,Appliances,Dyson V15 Detect Vacuum,2,749,1498
172,2025-09-23,4:51 PM,CUST172,Male,32,Appliances,iRobot Roomba j7+,2,599,1198
173,2025-08-28,8:21 PM,CUST173,Male,64,Audio,Sonos Era 300,3,449,1347
174,2025-11-17,9:05 PM,CUST174,Female,39,Cameras,Fujifilm X-T5,1,1699,1699
175,2025-11-22,5:11 PM,CUST175,Female,31,Computers & Accessories,Apple Magic Keyboard,4,99,396
176,2025-05-02,11:45 AM,CUST176,Female,43,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
177,2025-03-21,4:28 PM,CUST177,Male,45,Appliances,Instant Pot Duo 7-in-1,2,99,198
178,2025-08-11,4:39 PM,CUST178,Male,40,Computers & Accessories,Apple Magic Keyboard,2,99,198
179,2025-08-09,1:23 PM,CUST179,Male,31,Cameras,Canon EOS R50,1,699,699
180,2025-08-25,8:24 PM,CUST180,Male,41,Smart Home,Google Nest Hub Max,3,229,687
181,2025-11-07,4:21 PM,CUST181,Male,19,TVs,"Samsung 65"" QLED 4K TV",2,1299,2598
182,2025-10-24,6:03 PM,CUST182,Male,62,Computers & Accessories,Samsung T7 Portable SSD 1TB,4,89,356
183,2025-12-27,6:41 PM,CUST183,Female,43,Tablets,iPad 10th Gen,3,449,1347
184,2025-03-22,4:21 PM,CUST184,Male,31,Audio,Sony WH-1000XM5 Headphones,3,349,1047
185,2025-08-01,12:43 PM,CUST185,Male,24,Smart Home,Nest Learning Thermostat,1,249,249
186,2025-07-04,4:16 PM,CUST186,Male,20,Smart Home,Amazon Echo Show 10,3,249,747
187,2025-12-03,6:42 PM,CUST187,Female,64,Computers & Accessories,Apple Magic Keyboard,2,99,198
188,2025-05-24,8:38 PM,CUST188,Male,40,Computers & Accessories,Logitech MX Master 3 Mouse,3,99,297
189,2025-05-02,7:21 PM,CUST189,Male,63,Smart Home,Amazon Echo Show 10,1,249,249
190,2025-08-18,11:42 AM,CUST190,Female,60,Computers & Accessories,Samsung T7 Portable SSD 1TB,3,89,267
191,2025-08-08,1:22 PM,CUST191,Male,64,Appliances,Vitamix E310 Blender,1,349,349
192,2025-06-06,3:41 PM,CUST192,Male,62,Smart Home,Philips Hue Starter Kit,2,199,398
193,2025-05-24,6:25 PM,CUST193,Male,35,Tablets,iPad 10th Gen,3,449,1347
194,2025-12-15,12:45 PM,CUST194,Male,55,Computers & Accessories,Anker 65W USB-C Charger,4,45,180
195,2025-08-16,8:19 PM,CUST195,Male,52,Smart Home,Amazon Echo Show 10,1,249,249
196,2025-12-03,5:41 PM,CUST196,Female,32,Gaming,Xbox Series X,3,499,1497
197,2025-09-18,7:52 PM,CUST197,Female,42,Audio,Sony WH-1000XM5 Headphones,3,349,1047
198,2025-02-28,12:44 PM,CUST198,Female,54,Cameras,Nikon Z50,2,859,1718
199,2025-12-31,7:47 PM,CUST199,Male,45,Tablets,iPad Air M1,2,749,1498
200,2025-11-28,9:58 PM,CUST200,Male,27,Smart Home,Amazon Echo Show 10,3,249,747
201,2025-12-25,4:41 PM,CUST201,Male,56,Smart Home,Arlo Pro 4 Security Camera,1,199,199
202,2025-12-15,5:32 PM,CUST202,Female,34,Smart Home,Nest Learning Thermostat,3,249,747
203,2025-11-29,4:23 PM,CUST203,Male,56,Smart Home,Philips Hue Starter Kit,2,199,398
204,2025-04-21,2:13 PM,CUST204,Male,39,Smart Home,Amazon Echo Show 10,1,249,249
205,2025-09-01,2:49 PM,CUST205,Female,43,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",1,399,399
206,2025-05-11,4:14 PM,CUST206,Male,61,Smart Home,Google Nest Hub Max,1,229,229
207,2025-08-01,9:09 PM,CUST207,Female,42,Smart Home,Ring Video Doorbell Pro 2,2,249,498
208,2025-03-03,11:54 AM,CUST208,Female,34,Audio,Bose QuietComfort 45,3,279,837
209,2025-07-21,7:32 PM,CUST209,Female,30,Smart Home,Arlo Pro 4 Security Camera,4,199,796
210,2025-12-27,6:53 PM,CUST210,Male,37,Computers & Accessories,Logitech MX Master 3 Mouse,4,99,396
211,2025-05-31,6:33 PM,CUST211,Male,42,Tablets,Microsoft Surface Go 3,3,399,1197
212,2025-11-17,11:21 AM,CUST212,Male,21,Appliances,Ninja Foodi Air Fryer,3,199,597
213,2025-08-22,7:39 PM,CUST213,Male,27,Cameras,Sony Alpha a7 IV,2,2499,4998
214,2025-08-09,1:24 PM,CUST214,Male,20,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
215,2025-12-22,12:11 PM,CUST215,Male,58,Tablets,iPad 10th Gen,3,449,1347
216,2025-12-30,7:49 PM,CUST216,Male,62,Audio,Bose QuietComfort 45,2,279,558
217,2025-09-19,5:57 PM,CUST217,Female,35,Smart Home,Google Nest Hub Max,3,229,687
218,2025-11-05,12:28 PM,CUST218,Male,64,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
219,2025-04-17,11:23 AM,CUST219,Female,53,Computers & Accessories,Apple Magic Keyboard,3,99,297
220,2025-06-14,6:15 PM,CUST220,Male,64,Cameras,GoPro Hero 12,1,399,399
221,2025-12-25,9:39 PM,CUST221,Male,39,Cameras,Nikon Z50,2,859,1718
222,2025-09-26,3:47 PM,CUST222,Male,51,Computers & Accessories,Anker 65W USB-C Charger,4,45,180
223,2025-09-15,6:14 PM,CUST223,Female,64,Computers & Accessories,Apple Magic Keyboard,1,99,99
224,2025-11-10,4:19 PM,CUST224,Female,25,Smart Home,Google Nest Hub Max,1,229,229
225,2025-03-02,9:50 PM,CUST225,Female,57,Appliances,Vitamix E310 Blender,3,349,1047
226,2025-09-26,5:53 PM,CUST226,Female,61,Computers & Accessories,Logitech MX Master 3 Mouse,1,99,99
227,2025-09-06,1:43 PM,CUST227,Male,36,Smart Home,Nest Learning Thermostat,2,249,498
228,2025-11-30,8:28 PM,CUST228,Female,59,Appliances,Dyson V15 Detect Vacuum,2,749,1498
229,2025-04-18,4:18 PM,CUST229,Male,58,Computers & Accessories,Anker 65W USB-C Charger,3,45,135
230,2025-12-22,6:32 PM,CUST230,Male,54,Smart Home,Google Nest Hub Max,1,229,229
231,2025-03-14,5:10 PM,CUST231,Female,23,Smart Home,Arlo Pro 4 Security Camera,3,199,597
232,2025-05-01,7:51 PM,CUST232,Female,43,Computers & Accessories,Apple Magic Keyboard,1,99,99
233,2025-09-29,5:55 PM,CUST233,Female,51,Cameras,Nikon Z50,2,859,1718
234,2025-10-25,3:41 PM,CUST234,Female,62,Audio,Samsung Galaxy Buds2 Pro,2,199,398
235,2025-05-19,4:23 PM,CUST235,Female,23,Smartphones,Samsung Galaxy S24+,2,1099,2198
236,2025-03-31,5:06 PM,CUST236,Female,54,Computers & Accessories,Logitech MX Master 3 Mouse,1,99,99
237,2025-12-08,6:33 PM,CUST237,Female,50,Audio,Bose QuietComfort 45,2,279,558
238,2025-05-23,7:18 PM,CUST238,Female,39,Audio,AirPods Pro 2nd Gen,1,249,249
239,2025-09-29,11:10 AM,CUST239,Male,38,Laptops,MacBook Air M3,2,1299,2598
240,2025-10-06,1:57 PM,CUST240,Female,23,Tablets,iPad Air M1,1,749,749
241,2025-08-08,5:53 PM,CUST241,Female,23,Appliances,Instant Pot Duo 7-in-1,3,99,297
242,2025-09-26,4:58 PM,CUST242,Male,21,Audio,Sony WH-1000XM5 Headphones,1,349,349
243,2025-09-11,1:28 PM,CUST243,Female,47,TVs,"Sony 75"" Bravia XR",2,1999,3998
244,2025-12-18,8:59 PM,CUST244,Male,28,Appliances,Ninja Foodi Air Fryer,2,199,398
245,2025-05-08,10:03 AM,CUST245,Male,47,Audio,JBL Charge 5 Speaker,3,149,447
246,2025-11-05,3:23 PM,CUST246,Female,48,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",2,399,798
247,2025-05-21,1:05 PM,CUST247,Male,41,Audio,Bose QuietComfort 45,2,279,558
248,2025-07-29,3:01 PM,CUST248,Male,26,Tablets,iPad 10th Gen,3,449,1347
249,2025-10-24,4:06 PM,CUST249,Male,20,Audio,Sony WH-1000XM5 Headphones,1,349,349
250,2025-06-15,7:41 PM,CUST250,Male,48,Audio,Sonos Era 300,1,449,449
251,2025-06-22,2:09 PM,CUST251,Female,57,Smart Home,Amazon Echo Show 10,3,249,747
252,2025-11-12,12:18 PM,CUST252,Male,54,Tablets,Samsung Galaxy Tab S9,1,799,799
253,2025-03-10,8:30 PM,CUST253,Female,53,Appliances,Ninja Foodi Air Fryer,4,199,796
254,2025-08-22,6:08 PM,CUST254,Male,41,Gaming,PlayStation 5,1,499,499
255,2025-12-31,6:30 PM,CUST255,Male,48,Audio,Sonos Era 300,1,449,449
256,2025-12-31,4:00 PM,CUST256,Male,23,Tablets,Samsung Galaxy Tab S9,2,799,1598
257,2025-03-10,8:01 PM,CUST257,Male,19,Cameras,Nikon Z50,2,859,1718
258,2025-05-10,3:53 PM,CUST258,Female,37,Audio,Sony WH-1000XM5 Headphones,1,349,349
259,2025-05-31,1:46 PM,CUST259,Female,45,Smart Home,Philips Hue Starter Kit,4,199,796
260,2025-12-18,5:27 PM,CUST260,Male,28,Appliances,Vitamix E310 Blender,2,349,698
261,2025-12-06,12:18 PM,CUST261,Male,21,Smart Home,Arlo Pro 4 Security Camera,2,199,398
262,2025-12-06,2:07 PM,CUST262,Female,32,Appliances,iRobot Roomba j7+,2,599,1198
263,2025-07-18,11:26 AM,CUST263,Male,23,Smart Home,Google Nest Hub Max,2,229,458
264,2025-04-18,5:39 PM,CUST264,Male,47,Gaming,PlayStation 5 Controller,3,69,207
265,2025-11-28,4:07 PM,CUST265,Male,55,Smart Home,Philips Hue Starter Kit,3,199,597
266,2025-11-02,7:31 PM,CUST266,Female,19,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
267,2025-10-04,5:01 PM,CUST267,Female,32,Computers & Accessories,Anker 65W USB-C Charger,3,45,135
268,2025-12-28,5:36 PM,CUST268,Female,28,Computers & Accessories,Seagate 4TB External HDD,1,99,99
269,2025-10-18,2:09 PM,CUST269,Male,25,Smart Home,Arlo Pro 4 Security Camera,4,199,796
