Transaction ID,Date,Time,Customer ID,Gender,Age,Product Category,Product Name,Quantity,Price per Unit ($),Total Amount ($)
50,2025-08-24,12:13 PM,CUST050,Female,27,Smart Home,Arlo Pro 4 Security Camera,3,199,597
51,2025-10-02,8:20 PM,CUST051,Male,27,Appliances,Ninja Foodi Air Fryer,3,199,597
52,2025-03-05,7:51 PM,CUST052,Female,36,Cameras,Nikon Z50,1,859,859
53,2025-07-13,1:16 PM,CUST053,Male,34,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",2,399,798
54,2025-02-10,12:52 PM,CUST054,Female,38,Laptops,MacBook Air M3,2,1299,2598
55,2025-10-10,2:43 PM,CUST055,Male,31,Smart Home,Google Nest Hub Max,3,229,687
56,2025-05-31,11:18 AM,CUST056,Female,26,Smart Home,Ring Video Doorbell Pro 2,3,249,747
57,2025-11-18,10:53 AM,CUST057,Female,63,Computers & Accessories,Seagate 4TB External HDD,1,99,99
58,2025-11-13,11:13 AM,CUST058,Male,18,Smart Home,Nest Learning Thermostat,3,249,747
59,2025-07-05,3:21 PM,CUST059,Male,62,Smart Home,Google Nest Hub Max,1,229,229
60,2025-10-23,7:25 PM,CUST060,Male,30,Smart Home,Arlo Pro 4 Security Camera,3,199,597
61,2025-04-09,3:52 PM,CUST061,Male,21,Smart Home,Nest Learning Thermostat,3,249,747
62,2025-12-27,3:05 PM,CUST062,Male,18,Smart Home,Nest Learning Thermostat,2,249,498
63,2025-02-05,1:02 PM,CUST063,Male,57,Smart Home,Arlo Pro 4 Security Camera,2,199,398
64,2025-01-24,8:46 PM,CUST064,Male,49,Smart Home,Philips Hue Starter Kit,4,199,796
65,2025-12-05,7:49 PM,CUST065,Male,51,TVs,"Samsung 85"" Neo QLED",2,2999,5998
66,2025-04-27,4:19 PM,CUST066,Female,45,Appliances,Ninja Foodi Air Fryer,1,199,199
67,2025-05-29,7:14 PM,CUST067,Female,48,Audio,Bose QuietComfort 45,3,279,837
68,2025-02-10,6:19 PM,CUST068,Male,25,Laptops,"MacBook Pro 14""",1,1999,1999
69,2025-04-30,12:44 PM,CUST069,Female,56,Appliances,Keurig K-Elite Coffee Maker,3,149,447
70,2025-02-21,6:13 PM,CUST070,Female,43,Gaming,PlayStation 5,1,499,499
71,2025-07-14,6:45 PM,CUST071,Female,51,Computers & Accessories,Logitech MX Master 3 Mouse,4,99,396
72,2025-05-23,6:15 PM,CUST072,Female,20,Tablets,iPad Air M1,2,749,1498
73,2025-08-21,3:28 PM,CUST073,Male,29,Appliances,Ninja Foodi Air Fryer,3,199,597
74,2025-11-22,6:05 PM,CUST074,Female,18,Cameras,Fujifilm X-T5,2,1699,3398
75,2025-07-06,8:26 PM,CUST075,Male,61,Smart Home,Philips Hue Starter Kit,4,199,796
76,2025-03-25,9:16 PM,CUST076,Female,22,Appliances,Ninja Foodi Air Fryer,2,199,398
77,2025-07-09,11:18 AM,CUST077,Female,47,Audio,Sonos Era 300,2,449,898
78,2025-07-01,8:55 PM,CUST078,Female,47,Gaming,PlayStation 5 Controller,3,69,207
79,2025-04-18,2:30 PM,CUST079,Male,34,Tablets,"iPad Pro 12.9""",1,1099,1099
80,2025-12-10,4:59 PM,CUST080,Female,64,Smart Home,Philips Hue Starter Kit,2,199,398
81,2025-05-17,8:27 PM,CUST081,Male,40,Computers & Accessories,Anker 65W USB-C Charger,1,45,45
82,2025-12-26,8:26 PM,CUST082,Female,32,Smart Home,Ring Video Doorbell Pro 2,3,249,747
83,2025-12-16,9:52 PM,CUST083,Male,54,Computers & Accessories,Samsung T7 Portable SSD 1TB,2,89,178
84,2025-11-28,5:18 PM,CUST084,Female,38,Smart Home,Google Nest Hub Max,3,229,687
85,2025-02-06,3:43 PM,CUST085,Male,31,Computers & Accessories,Anker 65W USB-C Charger,3,45,135
86,2025-11-08,5:39 PM,CUST086,Male,19,Appliances,Instant Pot Duo 7-in-1,3,99,297
87,2025-11-22,6:28 PM,CUST087,Female,28,Appliances,iRobot Roomba j7+,2,599,1198
88,2025-03-29,1:21 PM,CUST088,Male,56,Gaming,PlayStation 5 Controller,1,69,69
89,2025-10-01,8:22 PM,CUST089,Female,55,TVs,"Samsung 85"" Neo QLED",2,2999,5998
90,2025-05-06,10:22 AM,CUST090,Female,51,Smart Home,Nest Learning Thermostat,1,249,249
91,2025-03-25,6:54 PM,CUST091,Female,55,TVs,"LG 55"" OLED TV",1,1499,1499
92,2025-08-25,1:42 PM,CUST092,Female,51,Audio,Sonos Era 300,3,449,1347
93,2025-07-14,6:50 PM,CUST093,Female,35,Audio,Samsung Galaxy Buds2 Pro,4,199,796
94,2025-05-19,5:42 PM,CUST094,Female,47,Cameras,Sony Alpha a7 IV,2,2499,4998
95,2025-11-24,3:48 PM,CUST095,Female,32,Audio,Bose QuietComfort 45,2,279,558
96,2025-12-19,7:14 PM,CUST096,Female,44,Tablets,"iPad Pro 12.9""",2,1099,2198
97,2025-10-13,3:55 PM,CUST097,Female,51,Cameras,DJI Mini 4 Pro Drone,2,759,1518
98,2025-04-23,2:25 PM,CUST098,Female,55,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",2,399,798
99,2025-12-17,10:32 AM,CUST099,Female,50,Tablets,Microsoft Surface Go 3,3,399,1197
100,2025-06-16,4:00 PM,CUST100,Male,41,Audio,Sonos Era 300,1,449,449
101,2025-01-29,4:43 PM,CUST101,Male,32,Tablets,iPad Air M1,2,749,1498
102,2025-04-28,9:10 PM,CUST102,Female,47,Appliances,Keurig K-Elite Coffee Maker,2,149,298
103,2025-01-17,4:51 PM,CUST103,Female,59,Smart Home,Nest Learning Thermostat,1,249,249
104,2025-06-11,4:13 PM,CUST104,Female,34,Audio,Sonos Era 300,2,449,898
105,2025-07-25,1:54 PM,CUST105,Female,22,Gaming,Razer BlackShark V2 Headset,1,99,99
106,2025-05-18,6:29 PM,CUST106,Female,46,Computers & Accessories,Seagate 4TB External HDD,1,99,99
107,2025-02-03,5:40 PM,CUST107,Female,21,Tablets,Amazon Fire HD 10,4,149,596
108,2025-04-19,5:40 PM,CUST108,Female,27,Smart Home,Google Nest Hub Max,3,229,687
109,2025-10-18,7:38 PM,CUST109,Female,34,Tablets,Amazon Fire HD 10,4,149,596
110,2025-06-11,6:12 PM,CUST110,Male,27,Smart Home,Google Nest Hub Max,3,229,687
111,2025-04-19,6:06 PM,CUST111,Female,34,Gaming,Razer BlackShark V2 Headset,3,99,297
112,2025-12-02,7:04 PM,CUST112,Male,37,Gaming,Xbox Series X,3,499,1497
113,2025-09-13,5:03 PM,CUST113,Female,41,Smart Home,Ring Video Doorbell Pro 2,2,249,498
114,2025-07-22,3:23 PM,CUST114,Female,22,Smart Home,Ring Video Doorbell Pro 2,3,249,747
115,2025-11-26,9:40 PM,CUST115,Male,51,Tablets,iPad 10th Gen,3,449,1347
116,2025-08-23,8:37 PM,CUST116,Female,23,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",1,399,399
117,2025-03-15,5:12 PM,CUST117,Male,19,Smartphones,OnePlus 12,2,799,1598
118,2025-05-16,6:55 PM,CUST118,Female,30,Tablets,"iPad Pro 12.9""",2,1099,2198
119,2025-03-13,7:25 PM,CUST119,Female,60,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
120,2025-05-07,7:16 PM,CUST120,Male,60,Computers & Accessories,Apple Magic Keyboard,1,99,99
121,2025-10-15,4:08 PM,CUST121,Female,28,Audio,Sonos Era 300,3,449,1347
122,2025-10-03,7:57 PM,CUST122,Male,64,Smart Home,Amazon Echo Show 10,3,249,747
123,2025-05-15,4:54 PM,CUST123,Female,40,Appliances,iRobot Roomba j7+,2,599,1198
124,2025-10-27,6:24 PM,CUST124,Male,33,Tablets,Amazon Fire HD 10,4,149,596
125,2025-08-08,3:45 PM,CUST125,Male,48,Smart Home,Philips Hue Starter Kit,2,199,398
126,2025-10-26,1:16 PM,CUST126,Female,28,Audio,AirPods Pro 2nd Gen,3,249,747
127,2025-07-24,1:29 PM,CUST127,Female,33,Audio,Samsung Galaxy Buds2 Pro,2,199,398
128,2025-07-05,5:56 PM,CUST128,Male,25,Cameras,Sony Alpha a7 IV,1,2499,2499
129,2025-04-23,6:11 PM,CUST129,Female,21,Cameras,Nikon Z50,2,859,1718
130,2025-03-12,7:59 PM,CUST130,Female,57,Appliances,Instant Pot Duo 7-in-1,1,99,99
131,2025-09-18,9:36 PM,CUST131,Female,21,Audio,Samsung Galaxy Buds2 Pro,2,199,398
132,2025-09-10,8:56 PM,CUST132,Male,42,Appliances,Vitamix E310 Blender,3,349,1047
133,2025-02-16,8:42 PM,CUST133,Male,20,Smartphones,OnePlus 12,2,799,1598
134,2025-01-25,12:04 PM,CUST134,Male,49,Audio,Sony WH-1000XM5 Headphones,1,349,349
135,2025-02-26,4:29 PM,CUST135,Male,20,Audio,JBL Charge 5 Speaker,2,149,298
136,2025-03-20,4:07 PM,CUST136,Male,44,TVs,"Samsung 65"" QLED 4K TV",2,1299,2598
137,2025-11-18,2:31 PM,CUST137,Male,46,Cameras,Canon EOS R50,2,699,1398
138,2025-03-23,11:41 AM,CUST138,Male,49,Computers & Accessories,Seagate 4TB External HDD,4,99,396
139,2025-12-15,6:36 PM,CUST139,Male,36,Audio,AirPods Pro 2nd Gen,3,249,747
140,2025-08-05,6:17 PM,CUST140,Male,38,Appliances,iRobot Roomba j7+,1,599,599
141,2025-11-02,5:37 PM,CUST141,Female,22,Computers & Accessories,Samsung T7 Portable SSD 1TB,1,89,89
142,2025-02-02,2:16 PM,CUST142,Male,35,Laptops,MacBook Air M3,2,1299,2598
143,2025-07-17,12:37 PM,CUST143,Female,45,Audio,Sonos Era 300,1,449,449
144,2025-07-15,8:25 PM,CUST144,Female,59,Cameras,Sony Alpha a7 IV,2,2499,4998
145,2025-11-02,11:21 AM,CUST145,Female,39,Smart Home,Philips Hue Starter Kit,3,199,597
146,2025-08-28,4:35 PM,CUST146,Male,38,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
147,2025-09-28,6:10 PM,CUST147,Male,23,Laptops,"MacBook Pro 14""",1,1999,1999
148,2025-05-09,7:03 PM,CUST148,Male,18,Audio,Samsung Galaxy Buds2 Pro,2,199,398
149,2025-10-11,6:26 PM,CUST149,Male,22,Audio,AirPods Pro 2nd Gen,3,249,747
150,2025-01-06,1:12 PM,CUST150,Female,58,Appliances,Dyson V15 Detect Vacuum,2,749,1498
151,2025-12-15,12:10 PM,CUST151,Male,29,Computers & Accessories,Samsung T7 Portable SSD 1TB,1,89,89
152,2025-02-28,1:42 PM,CUST152,Male,43,Smartphones,Samsung Galaxy S24+,2,1099,2198
153,2025-12-16,3:35 PM,CUST153,Male,63,TVs,"TCL 50"" 4K Roku TV",2,499,998
154,2025-10-02,8:49 PM,CUST154,Male,51,TVs,"TCL 50"" 4K Roku TV",3,499,1497
155,2025-05-17,5:44 PM,CUST155,Male,31,Tablets,Amazon Fire HD 10,4,149,596
156,2025-11-25,2:52 PM,CUST156,Female,43,Smart Home,Arlo Pro 4 Security Camera,4,199,796
157,2025-06-24,4:47 PM,CUST157,Male,62,Tablets,Microsoft Surface Go 3,3,399,1197
158,2025-02-27,6:46 PM,CUST158,Female,44,Laptops,"MacBook Pro 14""",2,1999,3998
159,2025-05-31,12:08 PM,CUST159,Male,26,Audio,AirPods Pro 2nd Gen,3,249,747
160,2025-08-11,12:05 PM,CUST160,Female,43,Computers & Accessories,Seagate 4TB External HDD,2,99,198
161,2025-03-22,11:32 AM,CUST161,Male,64,Tablets,iPad 10th Gen,2,449,898
162,2025-08-21,5:10 PM,CUST162,Male,39,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
163,2025-01-02,2:50 PM,CUST163,Female,64,Audio,Sony WH-1000XM5 Headphones,3,349,1047
164,2025-05-15,6:39 PM,CUST164,Female,47,Cameras,DJI Mini 4 Pro Drone,2,759,1518
165,2025-09-14,5:39 PM,CUST165,Female,60,Appliances,Ninja Foodi Air Fryer,4,199,796
166,2025-04-02,12:49 PM,CUST166,Male,34,Tablets,"iPad Pro 12.9""",2,1099,2198
167,2025-09-17,11:21 AM,CUST167,Female,43,Smart Home,Ring Video Doorbell Pro 2,3,249,747
168,2025-02-24,7:27 PM,CUST168,Male,53,Tablets,"iPad Pro 12.9""",1,1099,1099
169,2025-11-17,1:11 PM,CUST169,Male,18,Tablets,"iPad Pro 12.9""",2,1099,2198
170,2025-06-02,6:09 PM,CUST170,Female,25,Smart Home,Nest Learning Thermostat,2,249,498
171,2025-11-24,4:33 PM,CUST171,Female,52,Appliances,Dyson V15 Detect Vacuum,2,749,1498
172,2025-09-17,6:00 PM,CUST172,Male,32,Appliances,iRobot Roomba j7+,2,599,1198
173,2025-11-08,1:58 PM,CUST173,Male,64,Audio,Sonos Era 300,3,449,1347
174,2025-04-12,6:06 PM,CUST174,Female,39,Cameras,Fujifilm X-T5,1,1699,1699
175,2025-03-20,7:15 PM,CUST175,Female,31,Computers & Accessories,Apple Magic Keyboard,4,99,396
176,2025-07-11,5:46 PM,CUST176,Female,43,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
177,2025-03-24,7:55 PM,CUST177,Male,45,Appliances,Instant Pot Duo 7-in-1,2,99,198
178,2025-10-04,8:56 PM,CUST178,Male,40,Computers & Accessories,Apple Magic Keyboard,2,99,198
179,2025-09-29,7:56 PM,CUST179,Male,31,Cameras,Canon EOS R50,1,699,699
180,2025-01-01,8:10 PM,CUST180,Male,41,Smart Home,Google Nest Hub Max,3,229,687
181,2025-11-03,7:23 PM,CUST181,Male,19,TVs,"Samsung 65"" QLED 4K TV",2,1299,2598
182,2025-06-15,1:37 PM,CUST182,Male,62,Computers & Accessories,Samsung T7 Portable SSD 1TB,4,89,356
183,2025-09-08,11:25 AM,CUST183,Female,43,Tablets,iPad 10th Gen,3,449,1347
184,2025-01-10,10:10 AM,CUST184,Male,31,Audio,Sony WH-1000XM5 Headphones,3,349,1047
185,2025-02-27,12:00 PM,CUST185,Male,24,Smart Home,Nest Learning Thermostat,1,249,249
186,2025-07-05,8:51 PM,CUST186,Male,20,Smart Home,Amazon Echo Show 10,3,249,747
187,2025-06-07,5:18 PM,CUST187,Female,64,Computers & Accessories,Apple Magic Keyboard,2,99,198
188,2025-05-03,12:27 PM,CUST188,Male,40,Computers & Accessories,Logitech MX Master 3 Mouse,3,99,297
189,2025-01-30,7:02 PM,CUST189,Male,63,Smart Home,Amazon Echo Show 10,1,249,249
190,2025-05-04,2:38 PM,CUST190,Female,60,Computers & Accessories,Samsung T7 Portable SSD 1TB,3,89,267
191,2025-10-18,6:54 PM,CUST191,Male,64,Appliances,Vitamix E310 Blender,1,349,349
192,2025-02-10,2:20 PM,CUST192,Male,62,Smart Home,Philips Hue Starter Kit,2,199,398
193,2025-02-13,7:02 PM,CUST193,Male,35,Tablets,iPad 10th Gen,3,449,1347
194,2025-09-06,3:17 PM,CUST194,Male,55,Computers & Accessories,Anker 65W USB-C Charger,4,45,180
195,2025-02-05,5:35 PM,CUST195,Male,52,Smart Home,Amazon Echo Show 10,1,249,249
196,2025-09-30,12:43 PM,CUST196,Female,32,Gaming,Xbox Series X,3,499,1497
197,2025-03-06,10:55 AM,CUST197,Female,42,Audio,Sony WH-1000XM5 Headphones,3,349,1047
198,2025-03-07,8:47 PM,CUST198,Female,54,Cameras,Nikon Z50,2,859,1718
199,2025-12-04,3:32 PM,CUST199,Male,45,Tablets,iPad Air M1,2,749,1498
200,2025-09-01,6:49 PM,CUST200,Male,27,Smart Home,Amazon Echo Show 10,3,249,747
201,2025-10-09,1:33 PM,CUST201,Male,56,Smart Home,Arlo Pro 4 Security Camera,1,199,199
202,2025-03-26,3:03 PM,CUST202,Female,34,Smart Home,Nest Learning Thermostat,3,249,747
203,2025-05-16,1:41 PM,CUST203,Male,56,Smart Home,Philips Hue Starter Kit,2,199,398
204,2025-09-28,1:53 PM,CUST204,Male,39,Smart Home,Amazon Echo Show 10,1,249,249
205,2025-11-07,5:27 PM,CUST205,Female,43,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",1,399,399
206,2025-08-05,10:01 AM,CUST206,Male,61,Smart Home,Google Nest Hub Max,1,229,229
207,2025-04-19,7:08 PM,CUST207,Female,42,Smart Home,Ring Video Doorbell Pro 2,2,249,498
208,2025-10-04,8:11 PM,CUST208,Female,34,Audio,Bose QuietComfort 45,3,279,837
209,2025-12-20,5:03 PM,CUST209,Female,30,Smart Home,Arlo Pro 4 Security Camera,4,199,796
210,2025-04-13,9:16 PM,CUST210,Male,37,Computers & Accessories,Logitech MX Master 3 Mouse,4,99,396
211,2024-01-01,1:48 PM,CUST211,Male,42,Tablets,Microsoft Surface Go 3,3,399,1197
212,2025-06-09,3:00 PM,CUST212,Male,21,Appliances,Ninja Foodi Air Fryer,3,199,597
213,2025-07-24,8:02 PM,CUST213,Male,27,Cameras,Sony Alpha a7 IV,2,2499,4998
214,2025-12-10,4:59 PM,CUST214,Male,20,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
215,2025-11-29,9:28 PM,CUST215,Male,58,Tablets,iPad 10th Gen,3,449,1347
216,2025-07-11,11:37 AM,CUST216,Male,62,Audio,Bose QuietComfort 45,2,279,558
217,2025-08-13,1:27 PM,CUST217,Female,35,Smart Home,Google Nest Hub Max,3,229,687
218,2025-09-22,12:58 PM,CUST218,Male,64,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
219,2025-08-20,5:23 PM,CUST219,Female,53,Computers & Accessories,Apple Magic Keyboard,3,99,297
220,2025-03-03,4:14 PM,CUST220,Male,64,Cameras,GoPro Hero 12,1,399,399
221,2025-05-07,6:31 PM,CUST221,Male,39,Cameras,Nikon Z50,2,859,1718
222,2025-04-26,1:54 PM,CUST222,Male,51,Computers & Accessories,Anker 65W USB-C Charger,4,45,180
223,2025-02-02,12:39 PM,CUST223,Female,64,Computers & Accessories,Apple Magic Keyboard,1,99,99
224,2025-06-23,1:51 PM,CUST224,Female,25,Smart Home,Google Nest Hub Max,1,229,229
225,2025-01-11,12:30 PM,CUST225,Female,57,Appliances,Vitamix E310 Blender,3,349,1047
226,2025-10-29,6:15 PM,CUST226,Female,61,Computers & Accessories,Logitech MX Master 3 Mouse,1,99,99
227,2025-10-11,12:43 PM,CUST227,Male,36,Smart Home,Nest Learning Thermostat,2,249,498
228,2025-04-28,1:41 PM,CUST228,Female,59,Appliances,Dyson V15 Detect Vacuum,2,749,1498
229,2025-10-29,4:51 PM,CUST229,Male,58,Computers & Accessories,Anker 65W USB-C Charger,3,45,135
230,2025-04-23,4:55 PM,CUST230,Male,54,Smart Home,Google Nest Hub Max,1,229,229
231,2025-01-04,7:04 PM,CUST231,Female,23,Smart Home,Arlo Pro 4 Security Camera,3,199,597
232,2025-02-06,1:33 PM,CUST232,Female,43,Computers & Accessories,Apple Magic Keyboard,1,99,99
233,2025-12-29,1:45 PM,CUST233,Female,51,Cameras,Nikon Z50,2,859,1718
234,2025-11-20,3:33 PM,CUST234,Female,62,Audio,Samsung Galaxy Buds2 Pro,2,199,398
235,2025-01-31,5:15 PM,CUST235,Female,23,Smartphones,Samsung Galaxy S24+,2,1099,2198
236,2025-04-28,1:49 PM,CUST236,Female,54,Computers & Accessories,Logitech MX Master 3 Mouse,1,99,99
237,2025-02-04,5:31 PM,CUST237,Female,50,Audio,Bose QuietComfort 45,2,279,558
238,2025-01-17,1:50 PM,CUST238,Female,39,Audio,AirPods Pro 2nd Gen,1,249,249
239,2025-06-19,5:02 PM,CUST239,Male,38,Laptops,MacBook Air M3,2,1299,2598
240,2025-02-06,3:20 PM,CUST240,Female,23,Tablets,iPad Air M1,1,749,749
241,2025-09-21,1:03 PM,CUST241,Female,23,Appliances,Instant Pot Duo 7-in-1,3,99,297
242,2025-05-02,6:11 PM,CUST242,Male,21,Audio,Sony WH-1000XM5 Headphones,1,349,349
243,2025-05-23,1:59 PM,CUST243,Female,47,TVs,"Sony 75"" Bravia XR",2,1999,3998
244,2025-12-09,6:00 PM,CUST244,Male,28,Appliances,Ninja Foodi Air Fryer,2,199,398
245,2025-09-06,5:18 PM,CUST245,Male,47,Audio,JBL Charge 5 Speaker,3,149,447
246,2025-04-20,1:23 PM,CUST246,Female,48,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",2,399,798
247,2025-10-04,12:22 PM,CUST247,Male,41,Audio,Bose QuietComfort 45,2,279,558
248,2025-03-09,3:44 PM,CUST248,Male,26,Tablets,iPad 10th Gen,3,449,1347
249,2025-10-20,2:16 PM,CUST249,Male,20,Audio,Sony WH-1000XM5 Headphones,1,349,349
250,2025-10-23,1:03 PM,CUST250,Male,48,Audio,Sonos Era 300,1,449,449
251,2025-08-31,8:01 PM,CUST251,Female,57,Smart Home,Amazon Echo Show 10,3,249,747
252,2025-05-05,2:09 PM,CUST252,Male,54,Tablets,Samsung Galaxy Tab S9,1,799,799
253,2025-08-31,5:53 PM,CUST253,Female,53,Appliances,Ninja Foodi Air Fryer,4,199,796
254,2025-07-28,7:01 PM,CUST254,Male,41,Gaming,PlayStation 5,1,499,499
255,2025-04-08,2:20 PM,CUST255,Male,48,Audio,Sonos Era 300,1,449,449
256,2025-02-18,8:15 PM,CUST256,Male,23,Tablets,Samsung Galaxy Tab S9,2,799,1598
257,2025-02-19,4:49 PM,CUST257,Male,19,Cameras,Nikon Z50,2,859,1718
258,2025-12-04,11:01 AM,CUST258,Female,37,Audio,Sony WH-1000XM5 Headphones,1,349,349
259,2025-08-09,1:14 PM,CUST259,Female,45,Smart Home,Philips Hue Starter Kit,4,199,796
260,2025-07-01,2:16 PM,CUST260,Male,28,Appliances,Vitamix E310 Blender,2,349,698
261,2025-08-05,6:04 PM,CUST261,Male,21,Smart Home,Arlo Pro 4 Security Camera,2,199,398
262,2025-07-30,5:27 PM,CUST262,Female,32,Appliances,iRobot Roomba j7+,2,599,1198
263,2025-08-28,12:27 PM,CUST263,Male,23,Smart Home,Google Nest Hub Max,2,229,458
264,2025-01-28,11:54 AM,CUST264,Male,47,Gaming,PlayStation 5 Controller,3,69,207
265,2025-12-11,9:23 PM,CUST265,Male,55,Smart Home,Philips Hue Starter Kit,3,199,597
266,2025-12-01,4:35 PM,CUST266,Female,19,Computers & Accessories,Anker 65W USB-C Charger,2,45,90
267,2025-11-27,7:49 PM,CUST267,Female,32,Computers & Accessories,Anker 65W USB-C Charger,3,45,135
268,2025-02-20,5:41 PM,CUST268,Female,28,Computers & Accessories,Seagate 4TB External HDD,1,99,99
269,2025-02-01,1:45 PM,CUST269,Male,25,Smart Home,Arlo Pro 4 Security Camera,4,199,796
